"rarity","item","armour_type","proficiency","armour_class","stealth_disadvantage","weight_kg","price_gp","special","where_to_find","source_url"
"Common","Bandit's Armour","Light","Light Armour","11","No","4.5","40","","Worn by Shadowheart in the Emerald Grove","https://bg3.wiki/wiki/Armour"
"Common","Broken Padded Armour","Light","Light Armour","11","No","3.6","30","","Risen Road Toll House: On a shelf in the basement beneath the toll house","https://bg3.wiki/wiki/Armour"
"Common","Druid Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Druids","https://bg3.wiki/wiki/Armour"
"Common","Druid Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Druids","https://bg3.wiki/wiki/Armour"
"Common","Faded Drow Leather Armour","Light","Light Armour","12","No","5.85","130","","Waukeen's Rest X: -71 Y: 592: On the Dead Drow Raider in the courtyard","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Leather Armour","Light","Light Armour","11","No","4.5","40","","Starting armour for Rangers; Emerald Grove X: 205 Y: 516: Sold by Arron; Ebonlake Grotto: Sold by Derryth Bonecloak; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Padded Armour","Light","Light Armour","11","No","3.6","30","","Starting armour for Warlocks","https://bg3.wiki/wiki/Armour"
"Common","Padded Armour","Light","Light Armour","11","No","3.6","30","","Starting armour for Warlocks","https://bg3.wiki/wiki/Armour"
"Common","Selûnite Robe","Light","Light Armour","11","No","4.5","40","","Last Light Inn X: -57 Y: 164: In the shabby wardrobe in Isobel's room; Moonrise Towers X: -169 Y: -200: In a bedside cabinet in Isobel's room; Reithwin Town X: -172 Y: 102: Buried at the gravesite outside of the Sharran Temple","https://bg3.wiki/wiki/Armour"
"Common","Simple Jerkin","Light","Light Armour","11","No","4.5","40","","Starting clothing for Bards","https://bg3.wiki/wiki/Armour"
"Common","Studded Leather Armour","Light","Light Armour","12","No","5.9","100","","Shattered Sanctum: Sold by Roah Moonglow; Worn by several enemies throughout the game","https://bg3.wiki/wiki/Armour"
"Uncommon","Blazer of Benevolence","Light","Light Armour","11","No","4.5","160","Remedial Rhymes; When you inspire an ally using Bardic Inspiration, you gain 4 temporary hit points.","Campsite (Act One): Reward for rescuing Volo from the Goblin Camp during the quest Rescue Volo","https://bg3.wiki/wiki/Armour"
"Uncommon","Leather Armour +1","Light","Light Armour","12","No","4.5","130","Stealthy; Gain a +1 bonus to Stealth Checks.","Sold by traders using the levelled magic armour table if the player is between levels 4 and 6","https://bg3.wiki/wiki/Armour"
"Uncommon","Padded Armour +1","Light","Light Armour","12","No","3.6","105","Superior Padding; You take 1 less Bludgeoning damage.","Sold by traders using the levelled magic armour table if the player is between levels 2 and 4","https://bg3.wiki/wiki/Armour"
"Uncommon","Scarlet Leather Armour","Light","Light Armour","12","No","4.5","160","Stealthy; Gain a +1 bonus to Stealth Checks.","Highberry's Home X: 20 Y: -34: Worn by Dolor the assassin; Fraygo's Flophouse X: -14 Y: 75: In the Shabby Wardobe in the secret room of the attic","https://bg3.wiki/wiki/Armour"
"Uncommon","Studded Leather Armour +1","Light","Light Armour","13","No","5.85","260","Superior Padding; You take 1 less Bludgeoning damage.","Sold by traders using the levelled magic armour table if the player is between levels 6 and 8","https://bg3.wiki/wiki/Armour"
"Rare","Drow Studded Leather Armour","Light","Light Armour","12","No","5.85","1000","Stealth +1","Underdark X: 71 Y: -220: in a heavy chest at a Lolth's Cultist's cache near the entrance of the Festering Cove","https://bg3.wiki/wiki/Armour"
"Rare","Leather Armour +2","Light","Light Armour","13","No","4.5","380","Stealthy; Gain a +1 bonus to Stealth Checks.; Balance; Gain a +1 bonus to Dexterity Saving throws and Ability checks","Sold by traders using the levelled magic armour table if the player is level 7 or above","https://bg3.wiki/wiki/Armour"
"Rare","Padded Armour +2","Light","Light Armour","13","No","3.6","310","Superior Padding; You take 2 less Bludgeoning damage.","Sold by traders using the levelled magic armour table if the player is between levels 5 and 8","https://bg3.wiki/wiki/Armour"
"Rare","Penumbral Armour","Light","Light Armour","12","No","5.85","1000","Stealthier; While obscured, the wearer gains a +3 bonus to Stealth Checks.","Ruined Battlefield X: 33 Y: 145: In a locked opulent chest in the abandoned house by the river east of the Last Light Inn","https://bg3.wiki/wiki/Armour"
"Rare","Shadeclinger Armour","Light","Light Armour","12","No","4.5","130","Stealth +1; Shadeclinger; While obscured, the wearer has Advantage on Saving Throws.","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Armour"
"Rare","Spidersilk Armour","Light","Light Armour","12","No","5.8","1150","Advantage on Constitution Saving Throws; Stealthy; Gain a +1 bonus to Stealth Checks.","Shattered Sanctum: Worn by Minthara","https://bg3.wiki/wiki/Armour"
"Rare","Studded Leather Armour +2","Light","Light Armour","14","No","5.85","770","Superior Padding; You take 1 less Bludgeoning damage.; Ambusher; Gain a +1 bonus to Initiative Rolls.","Sold by traders using the levelled magic armour table; Worn by Orin during the quest Get Orin's Netherstone","https://bg3.wiki/wiki/Armour"
"Very Rare","Armour of Landfall","Light","Light Armour","13","No","4.5","1700","Advantage on Constitution Saving Throws.; Plant Growth; Cast as a level 3 spell ( Recharge: Short rest.); High Spellcasting; You gain a +1 bonus to Spell Save DC.; Green Bed Regeneration; When starting your turn on Plant Growth Surface or Vine Surface regain 1d4 Hit Points.","Sorcerous Sundries X: -14 Y: -72: Sold by Lorroakan's Projection or Rolan on the ground floor","https://bg3.wiki/wiki/Armour"
"Very Rare","Armour of Moonbasking","Light","Light Armour","11","No","4.5","1400","Lunar Bestial Vitality; You gain 22 temporary hit points after casting Wild Shape. While those temporary hit points are active reduce all incoming damage by 1.; Lunar Bestial Fortitude; You have a +2 bonus to Armour Class. You also have Advantage on Saving Throws against spells. This effect persists while using your druidic Wild Shape ability.","Lower City Sewers X: -157 Y: 939: Sold by Voiceless Penitent Bareki","https://bg3.wiki/wiki/Armour"
"Very Rare","Armour of the Sporekeeper","Light","Light Armour","13","No","4.5","1050","Malefic Funghi; The wearer gains a +1 bonus to Spell Save DC and when dealing Necrotic damage, they deal an additional 1 Necrotic damage.; Spore Sacks; While imbued with Symbiotic Entity, you can spread Bibberbang Spores, Timmask Spores, and Haste Spores.","Philgrave's Mansion X: 14 Y: -160: Sold by Mystic Carrion","https://bg3.wiki/wiki/Armour"
"Very Rare","Bhaalist Armour","Light","Light Armour","14","No","5.85","2000","Aura of Murder; Enemies within 3 m (10 ft) become Vulnerable to Piercing damage, unless they are Immune to it.; Ambusher; Gain a +2 bonus to Initiative Rolls.","Murder Tribunal X: -1263 Y: 511: Sold by Echo of Abazigal","https://bg3.wiki/wiki/Armour"
"Very Rare","Elegant Studded Leather","Light","Light Armour","14","No","5.85","2000","Advantage on Stealth checks.; Shield; Cast as a level 1 spell ( Recharge: Short rest.); Ambusher; Gain a +2 bonus to Initiative Rolls.","The Counting House X: -686 Y: 874: in the High Security Vault nº9","https://bg3.wiki/wiki/Armour"
"Common","+1 Breastplate","Medium","Medium Armour","14","No","9","100","","Circus of the Last Days X: -68 Y: -73: Given as a consolation prize by Akabi after failing to win the jackpot at the Wheel of Fortune","https://bg3.wiki/wiki/Armour"
"Common","Breastplate","Medium","Medium Armour","14","No","9","100","","Creche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Armour"
"Common","Chain Shirt","Medium","Medium Armour","13","No","9","50","","Starting armour for Clerics; Emerald Grove X: 177 Y: 562: Sold by Dammon; Worn by several characters throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Chain Shirt","Medium","Medium Armour","13","No","9","50","","Starting armour for Clerics; Emerald Grove X: 177 Y: 562: Sold by Dammon; Worn by several characters throughout the game","https://bg3.wiki/wiki/Armour"
"Common","Damaged Dark Justiciar Armour","Medium","Medium Armour","13","No","9","50","","Grymforge X: -657 Y: 425: On a pair of skeletons past the Elder Rothé","https://bg3.wiki/wiki/Armour"
"Common","Dreamwalker Plate","Medium","Medium Armour","15","Yes","12","180","","Worn by the Dream Guardians in the final fight scenario","https://bg3.wiki/wiki/Armour"
"Common","Githyanki Half Plate","Medium","Medium Armour","15","Yes","12","180","","Worn by Lae'zel; Worn by members of the githyanki patrol by the bridge on The Risen Road; Worn by Shadow-Cursed Githyanki Warriors at the Last Light Inn","https://bg3.wiki/wiki/Armour"
"Common","Half Plate Armour","Medium","Medium Armour","15","Yes","12","180","","Creche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Armour"
"Common","Half Plate Armour","Medium","Medium Armour","15","Yes","12","180","","Creche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Armour"
"Common","Hide Armour","Medium","Medium Armour","12","No","5.4","60","","","https://bg3.wiki/wiki/Armour"
"Common","Scale Mail","Medium","Medium Armour","14","Yes","12","65","","Starting armour for a Fighter; Emerald Grove: Sold by from Dammon; Nautiloid X: -53 Y: -391: Worn by Commander Zhalk and Cambions; Shadow-Cursed Lands X: 57 Y: 134: Worn by Harper Lassandra; Worn by several enemies through out the game","https://bg3.wiki/wiki/Armour"
"Common","Scale Mail of Devotion","Medium","Medium Armour","14","Yes","12","65","","Starting armour for Oath of Devotion Paladins","https://bg3.wiki/wiki/Armour"
"Common","Scale Mail of the Ancients","Medium","Medium Armour","14","Yes","12","65","","Starting armour for Oath of the Ancients Paladins","https://bg3.wiki/wiki/Armour"
"Common","Scale Mail of the Crown","Medium","Medium Armour","14","Yes","12","65","","Starting armour for Oath of the Crown Paladins","https://bg3.wiki/wiki/Armour"
"Common","Scale Mail of Vengeance","Medium","Medium Armour","14","Yes","12","65","","Starting armour for Oath of Vengeance Paladins","https://bg3.wiki/wiki/Armour"
"Uncommon","Breastplate +1","Medium","Medium Armour","15","No","9","200","Superior Plate; You take 1 less Piercing damage.","Emerald Grove X: 177 Y: 560: On crate near Dammon in the The Hollow; Sold by traders using the levelled magic armour table if the player is between levels 6 and 8","https://bg3.wiki/wiki/Armour"
"Uncommon","Chain Shirt +1","Medium","Medium Armour","14","No","9","130","Superior Material; You take 1 less Slashing damage.","Sold by traders using the levelled magic armour table if the player character is between levels 2 and 4","https://bg3.wiki/wiki/Armour"
"Uncommon","Dark Justiciar Mail","Medium","Medium Armour","13","No","9","280","Nightsinger's Reply; While obscured by shadow, the wearer deals 1d4 Necrotic damage to attackers that hit them with a melee attack.","Grymforge X: -655 Y: 424: On a skeleton north of the Underdark - Grymforge Ancient Rune Circle; Grymforge X: -609 Y: -246: On a skeleton south of the Ancient Forge Ancient Rune Circle","https://bg3.wiki/wiki/Armour"
"Uncommon","Half Plate Armour +1","Medium","Medium Armour","16","Yes","12","360","Superior Plate; You take 1 less Piercing damage.","Sold by traders using the levelled magic armour table if the player is between levels 6 and 8","https://bg3.wiki/wiki/Armour"
"Uncommon","Half Plate Armour +1","Medium","Medium Armour","16","Yes","12","360","Superior Plate; You take 1 less Piercing damage.","Sold by traders using the levelled magic armour table if the player is between levels 6 and 8","https://bg3.wiki/wiki/Armour"
"Uncommon","Hedge Wanderer Armour","Medium","Medium Armour","13","No","5.4","130","Nature +1.; Balance; Gain a +1 bonus to Dexterity Saving throws and Ability checks","The Hollow X: 205 Y: 516: Sold by Arron next to the Silvanus statue","https://bg3.wiki/wiki/Armour"
"Uncommon","Hide Armour +1","Medium","Medium Armour","13","No","5.4","105","Balance; Gain a +1 bonus to Dexterity Saving throws and Ability checks","Sold by traders using the levelled magic armour table if the player is between levels 2 and 4","https://bg3.wiki/wiki/Armour"
"Uncommon","Luminous Armour","Medium","Medium Armour","15","No","9","250","Radiating Shockwave; When the wearer deals Radiant damage, they cause a Radiant Shockwave.","Selûnite Outpost X: 176 Y: -247: in a locked and trapped opulent chest","https://bg3.wiki/wiki/Armour"
"Uncommon","Scale Mail +1","Medium","Medium Armour","15","Yes","12","160","Superior Material; You take 1 less Slashing damage.","Sold by traders using the levelled magic armour table if the player is between levels 4 and 6","https://bg3.wiki/wiki/Armour"
"Uncommon","Slippery Chain Shirt","Medium","Medium Armour","13","No","9","130","Cautious Healer; When the wearer heals a creature, it automatically Disengages and won't trigger Opportunity Attacks.","The Festering Cove X: -400 Y: 329: in a chest hidden on a cliff above and behind the altar","https://bg3.wiki/wiki/Armour"
"Uncommon","The Oak Father's Embrace","Medium","Medium Armour","13","No","5.4","130","Order of Nature; Undead creatures that hit the wearer receive 1d6 Radiant damage. Beasts that hit the wearer deal an additional 1d6 Radiant damage.","Owlbear Nest X: -354 Y: -111: On a headless skeleton near the owlbear nest and egg","https://bg3.wiki/wiki/Armour"
"Rare","Barkskin Armour","Medium","Medium Armour","12","No","5.4","420","Advantage on Constitution Saving Throws.; Forest Aegis; You are invested with the power of the meadows and woods of the land, and have the effect of Barkskin, increasing your Armour Class to 16.","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Armour"
"Rare","Breastplate +2","Medium","Medium Armour","16","No","9","600","Superior Plate; You take 1 less Piercing damage.; Balance; Gain a +1 bonus to Dexterity Saving throws and Ability checks","Sold by traders using the levelled magic armour table if the player is level 9 or above","https://bg3.wiki/wiki/Armour"
"Rare","Chain Shirt +2","Medium","Medium Armour","15","No","9","210","Superior Material; You take 1 less Slashing damage.; Balance; Gain a +1 bonus to Dexterity Saving throws and Ability checks","Sold by traders using the levelled magic armour table if the player is between levels 5 and 8","https://bg3.wiki/wiki/Armour"
"Rare","Dark Justiciar Half-Plate (Rare)","Medium","Medium Armour","16","No","12","1450","Advantage on Constitution Saving Throws.; Shar's Aegis; Encase yourself with a shimmering field of magic that increases your Armour Class by 2. ( Recharge: Long rest.); Shar's Umbrae; While obscured, the wearer has Advantage on Stealth Checks.","Gauntlet of Shar X: -818 Y: -755: Lying on the ground next to the altar where the Spear of Night rests, beyond the riddle door in the Silent Library","https://bg3.wiki/wiki/Armour"
"Rare","Elven Chain","Medium","Medium Armour","14","No","9","510","Elven Chain; You are considered Proficient with this armour while wearing it.; Elven Agility; The wearer has a +2 bonus to Initiative Rolls and Advantage on Dexterity Saving throws.","Rivington General X: 7 Y: -35: Sold by Exxvikyap in Rivington during Act Three","https://bg3.wiki/wiki/Armour"
"Rare","Half Plate Armour +2","Medium","Medium Armour","17","Yes","12","1100","Superior Plate; You take 2 less Piercing damage.","Sold by traders using the levelled magic armour table if the player is level 9 or above","https://bg3.wiki/wiki/Armour"
"Rare","Hide Armour +2","Medium","Medium Armour","14","No","5.4","310","Balance; Gain a +1 bonus to Dexterity Saving throws and Ability checks; Ambusher; Gain a +1 bonus to Initiative Rolls.","Sold by traders using the levelled magic armour table if the player character is level 5 or above; Sold by Grat in the Goblin Camp regardless of level","https://bg3.wiki/wiki/Armour"
"Rare","Psionic Ward Armour","Medium","Medium Armour","15","Yes","12","1450","Psionic Ward; If the item detects that the wearer is gith, they have Resistance to Psychic damage. Whenever the wearer succeeds on a Saving Throw against a spell, they regain 1d4 Hit Points.","Reithwin Town X: -249 Y: -33: Worn by Ch'r'ai Tska'an near the bridge leading to the To Baldur's Gate waypoint","https://bg3.wiki/wiki/Armour"
"Rare","Scale Mail +2","Medium","Medium Armour","16","Yes","12","480","Superior Material; You take 1 less Slashing damage.; Ambusher; Gain a +1 bonus to Initiative Rolls.","Sold by traders using the levelled magic armour table if the player character is level 7 or above","https://bg3.wiki/wiki/Armour"
"Rare","The Jolty Vest","Medium","Medium Armour","14","No","9","510","Superior Material; You take 1 less Slashing damage.; Countershock; When the wearer takes damage while having Lightning Charges, the attacker must succeed a Dexterity Saving throw or become Shocked.","Zhentarim Basement X: 295 Y: -250: Sold by Brem after completing the quest Find the Missing Shipment","https://bg3.wiki/wiki/Armour"
"Rare","Unwanted Masterwork Scalemail","Medium","Medium Armour","16","No","12","640","Resistance to Fire damage; Exotic Material; Add your full Dexterity Modifier to your Armour Class. Additionally, this armour does not impose Disadvantage on Stealth Ability Checks.","Forge of the Nine X: 5 Y: -7: Sold by Dammon","https://bg3.wiki/wiki/Armour"
"Rare","Yuan-Ti Scale Mail","Medium","Medium Armour","15","No","12","640","Exotic Material; Add your full Dexterity Modifier to your Armour Class. Additionally, this armour does not impose Disadvantage on Stealth Ability Checks.; Ambusher; Gain a +1 bonus to Initiative Rolls.","Last Light Inn X: -31 Y: 130: Sold by Quartermaster Talli near the Last Light Inn waypoint","https://bg3.wiki/wiki/Armour"
"Very Rare","Adamantine Scale Mail","Medium","Medium Armour","16","Yes","12","1300","Attackers can't land Critical Hits on the wearer.; Magical Plate; All incoming damage is reduced by 1; Adamantine Backlash; When a melee attack hits you, the attacker is sent Reeling for 2 turns.","Adamantine Forge X: -558 Y: 230: Forged from a Scale Mail Mould and Mithral Ore","https://bg3.wiki/wiki/Armour"
"Very Rare","Armour of Agility","Medium","Medium Armour","17","No","12","2900","Saving Throws +2.; Exotic Material; Add your full Dexterity Modifier to your Armour Class. Additionally, this armour does not impose Disadvantage on Stealth Ability Checks.","Stormshore Armoury X: -41 Y: -71: Sold by Gloomy Fentonson, near the Lower City Central Wall waypoint","https://bg3.wiki/wiki/Armour"
"Very Rare","Dark Justiciar Half-Plate (Very Rare)","Medium","Medium Armour","17","No","12","2900","Advantage on Constitution Saving Throws.; Shar's Aegis; Cast as a level 1 spell ( Recharge: Long rest.); Shar's Umbrae; While obscured, the wearer has Advantage on Stealth Checks.; Shar's Protection; While the wearer has Shield of Faith active, reduce all incoming damage by 2 and reflect damage received back at the attacker, who takes 1d4 Necrotic damage.","Shadowfell X: -604 Y: -1431: Awarded to Shadowheart for killing the Nightsong","https://bg3.wiki/wiki/Armour"
"Very Rare","Flame Enamelled Armour","Medium","Medium Armour","16","Yes","12","2900","Fire Shield: Warm; Cast as a level 4 spell ( Recharge: Long rest.); Seldom Caught Unawares; You gain a +2 bonus to Initiative rolls.; Endurance by Fire; You have Resistance to Fire damage and a +2 bonus to Saving throws.","Wyrm's Rock Fortress X: -28 Y: 184: In a heavy chest in the corner of the armoury south-west of the Wyrm's Rock waypoint (Behind the iron gate)","https://bg3.wiki/wiki/Armour"
"Very Rare","Sharpened Snare Cuirass","Medium","Medium Armour","14","No","5.4","830","Exotic Material; Add your full Dexterity Modifier to your Armour Class. Additionally, this armour does not impose Disadvantage on Stealth Ability Checks.; Sharpened Snare; Creatures have Disadvantage on Saving throws when resisting your attacks and spells that inflict Restrained.","Moonrise Towers X: -174 Y: -179: Sold by Roah Moonglow on the main floor","https://bg3.wiki/wiki/Armour"
"Common","Chain Mail","Heavy","Heavy Armour","16","Yes","18","130","","Shattered Sanctum X: 272 Y: -31: Sold by Roah Moonglow in Act One","https://bg3.wiki/wiki/Armour"
"Common","Plate Armour","Heavy","Heavy Armour","18","Yes","20","400","","Creche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Armour"
"Common","Ring Mail Armour","Heavy","Heavy Armour","14","Yes","17","100","","Emerald Grove X: 177 Y: 562: Sold by Dammon in The Hollow","https://bg3.wiki/wiki/Armour"
"Common","Splint Armour","Heavy","Heavy Armour","17","Yes","19","240","","Creche Y'llek X: 1380 Y: -798: Sold by A'jak'nir Jeera","https://bg3.wiki/wiki/Armour"
"Uncommon","Chain Mail +1","Heavy","Heavy Armour","17","Yes","18","260","Superior Material; You take 1 less Slashing damage.","Sold by traders using the levelled magic armour table if the player is between levels 4 and 6","https://bg3.wiki/wiki/Armour"
"Uncommon","Plate Armour +1","Heavy","Heavy Armour","19","Yes","20","800","Superior Plate; You take 1 less Piercing damage.","Sold by traders using the levelled magic armour table if the player character is between levels 8 and 10; The Counting House X: -95 Y: -177: Worn by Cashguard Captain Faril","https://bg3.wiki/wiki/Armour"
"Uncommon","Protective Plate","Heavy","Heavy Armour","18","No","20","1000","Grants Resistance to Necrotic damage; Does not give disadvantage on stealth checks.","House of Healing Morgue X: 44 Y: -942: Worn by the Hollow Armour at the bottom of the pit","https://bg3.wiki/wiki/Armour"
"Uncommon","Ring Mail Armour +1","Heavy","Heavy Armour","15","Yes","17","200","Body Aid; Gain a +1 bonus to Strength Saving throws and Ability checks.","Sold by traders using the levelled magic armour table if the player is between levels 2 and 4","https://bg3.wiki/wiki/Armour"
"Uncommon","Splint Armour +1","Heavy","Heavy Armour","18","Yes","19","480","Superior Plate; You take 1 less Piercing damage.","Sold by traders using the levelled magic armour table if the player is between levels 6 and 8","https://bg3.wiki/wiki/Armour"
"Rare","Armour of Devotion","Heavy","Heavy Armour","18","Yes","20","3200","Eternal Devotion; Recite your Oath to regain 1 Channel Oath Charge. ( Recharge: Long rest.)","Moonrise Towers X: -174 Y: -179: Sold by Roah Moonglow on the main floor","https://bg3.wiki/wiki/Armour"
"Rare","Cerebral Citadel Armour","Heavy","Heavy Armour","18","Yes","20","3200","Frightened Immunity; You can't be Frightened; Illithid Protection; If the wearer is infested by a mind flayer tadpole, they gain +1 to Intelligence, Wisdom, and Charisma Saving throws.","Knights of the Shield Hideout X: -727 Y: 589: In a wardrobe during the quest Visit the Emperor's Old Hideout","https://bg3.wiki/wiki/Armour"
"Rare","Chain Mail +2","Heavy","Heavy Armour","18","Yes","18","770","Superior Material; You take 2 less Slashing damage.","Sold by traders using the levelled magic armour table if the player is level 7 or above","https://bg3.wiki/wiki/Armour"
"Rare","Dwarven Splintmail","Heavy","Heavy Armour","19","Yes","19","1900","Constitution +2 (Max 20); Superior Plate; You take 1 less Piercing damage.; Body Aid; Gain a +1 bonus to Strength Saving throws and Ability checks.","Moonrise Towers X: -164 Y: -167: Sold by Lann Tarv on the main floor","https://bg3.wiki/wiki/Armour"
"Rare","Flawed Helldusk Armour","Heavy","Heavy Armour","18","Yes","20","3200","Lesser Infernal Retribution; When you are hit by a foe within 2 m (7 ft), it might take 1d4 Fire damage.; Superior Plate; You take 1 less Piercing damage.","Last Light Inn X: -33 Y: 164: Crafted by Dammon","https://bg3.wiki/wiki/Armour"
"Rare","Plate Armour +2","Heavy","Heavy Armour","20","Yes","20","2400","Exceptional Plate; You take 2 less damage from Slashing, Piercing and Bludgeoning sources.","Sold by traders using the levelled magic armour table if the player is level 11 or above","https://bg3.wiki/wiki/Armour"
"Rare","Ring Mail Armour +2","Heavy","Heavy Armour","16","Yes","17","600","Superior Material; You take 1 less Slashing damage.; Body Aid; Gain a +1 bonus to Strength Saving throws and Ability checks.","Sold by traders using the levelled magic armour table if the player is between levels 5 and 8","https://bg3.wiki/wiki/Armour"
"Rare","Rippling Force Mail","Heavy","Heavy Armour","17","Yes","18","1000","Force Absorption; Gain 2 turns of Force Conduit when taking Slashing, Piercing, or Bludgeoning damage.","Last Light Inn X: -22 Y: 175: in a locked Rustic Chest on the second floor of Dammon's blacksmith","https://bg3.wiki/wiki/Armour"
"Rare","Splint Armour +2","Heavy","Heavy Armour","19","Yes","19","1450","Superior Plate; You take 1 less Piercing damage.; Body Aid; Gain a +1 bonus to Strength Saving throws and Ability checks.","Sold by traders using the levelled magic armour table if the player is level 9 or above","https://bg3.wiki/wiki/Armour"
"Very Rare","Adamantine Splint Armour","Heavy","Heavy Armour","18","Yes","19","3800","Attackers cannot land Critical Hits on the wearer.; Magical Plate; All incoming damage is reduced by 2.; Intense Adamantine Backlash; When a melee attack hits you, the Attacker is sent Reeling for 3 turns.","Adamantine Forge (location) X: -558 Y: 230: Forged from a Splint Mould and Mithral Ore","https://bg3.wiki/wiki/Armour"
"Very Rare","Armour of Persistence","Heavy","Heavy Armour","20","Yes","20","6400","Magical Plate; All incoming damage is reduced by 2.; Legendary Persistence; You gain Resistance and Blade Ward.","Forge of the Nine X: 5 Y: -7: Sold by Dammon in Act Three","https://bg3.wiki/wiki/Armour"
"Very Rare","Blackguard's Plate","Heavy","Heavy Armour","19","Yes","20","6400","Advantage on Wisdom Saving Throws.; Magical Plate; All incoming damage is reduced by 1","Murder Tribunal X: -1293 Y: 503: Worn by the death knight That Which Guards","https://bg3.wiki/wiki/Armour"
"Very Rare","Emblazoned Plate of the Marshal","Heavy","Heavy Armour","19","Yes","20","6400","Fire Shield; Cast as a level 4 spell ( Recharge: Long rest.); Magical Plate; All incoming damage is reduced by 2.; Endurance by Fire; You have Resistance to Fire damage and a +2 bonus to Saving throws.","Wyrm's Rock Fortress: Can be looted from the body of Duke Ulder Ravengard if killed in the audience hall; Campsite (Act Three): Can also be looted from the body of Ravengard if he comes to the Campsite","https://bg3.wiki/wiki/Armour"
"Very Rare","Reaper's Embrace","Heavy","Heavy Armour","19","Yes","20","6400","Howl of the Dead; Let out a bone-chilling howl that Numbs all nearby creatures. ( Recharge: Short rest.); Magical Plate; All incoming damage is reduced by 2.; Reaper's Rigidity; When activated, you can't be moved against your will by any spell or action, but have Disadvantage on Dexterity Saving throws.","Mind Flayer Colony X: 861 Y: -23: Worn by Ketheric Thorm","https://bg3.wiki/wiki/Armour"
"Legendary","Helldusk Armour","Heavy","Heavy Armour","21","No","20","8000","Fly; Bestow the ability to Fly upon yourself. ( Recharge: Long rest.); Helldusk Armour; You are considered Proficient with this armour while wearing it.; Infernal Retribution; When you succeed a Saving Throw, the caster receives Burning for 3 turns.; Prime Aegis of Fire; You have Resistance to Fire damage and cannot be Burned. You take 3 less damage from all sources.","House of Hope X: -6477 Y: 2884: Carried by Raphael","https://bg3.wiki/wiki/Armour"
