"race","subrace","base_speed","race_proficiencies","subrace_proficiencies","race_features","subrace_features","source_url"
"Human","","Standard; 9 m (30 ft)","Weapons Spears; Pikes; Halberds; Glaives; Armour ; Light armour; Shields; Skills ; One Skill of choice","Weapons Spears; Pikes; Halberds; Glaives; Armour ; Light armour; Shields; Skills ; One Skill of choice","Human Versatility Increased Carrying Capacity by 25%","Human Versatility Increased Carrying Capacity by 25%","https://bg3.wiki/wiki/Races"
"Elf","High Elf","Standard; 9 m (30 ft)","Weapons Shortswords; Longswords; Shortbows; Longbows; Skills ; Perception","-","Fey Ancestry Advantage against being Charmed; Immune to magical Sleep; Darkvision ; Can see in the dark up to 12 m (40 ft).","One Cantrip of choice from the Wizard spell list","https://bg3.wiki/wiki/Races"
"Elf","Wood Elf","Fast; 10.5 m (35 ft)","Weapons Shortswords; Longswords; Shortbows; Longbows; Skills ; Perception","Skills Stealth","Fey Ancestry Advantage against being Charmed; Immune to magical Sleep; Darkvision ; Can see in the dark up to 12 m (40 ft).","Fleet of Foot Increases base movement speed by 1.5 m (5 ft)","https://bg3.wiki/wiki/Races"
"Drow","Lolth-Sworn Drow","Standard; 9 m (30 ft)","Weapons Rapiers; Shortswords; Hand Crossbows; Skills ; Perception","Weapons Rapiers; Shortswords; Hand Crossbows; Skills ; Perception","Fey Ancestry Advantage against being Charmed; Immune to magical Sleep; Superior Darkvision ; Can see in the dark up to 24 m (80 ft).; Drow Magic ; Dancing Lights, Faerie Fire, and Darkness Spells at levels 1, 3, and 5","The only difference between Drow subraces lies in their available dialogue options and deity selection as clerics","https://bg3.wiki/wiki/Races"
"Drow","Seldarine Drow","Standard; 9 m (30 ft)","Weapons Rapiers; Shortswords; Hand Crossbows; Skills ; Perception","Weapons Rapiers; Shortswords; Hand Crossbows; Skills ; Perception","Fey Ancestry Advantage against being Charmed; Immune to magical Sleep; Superior Darkvision ; Can see in the dark up to 24 m (80 ft).; Drow Magic ; Dancing Lights, Faerie Fire, and Darkness Spells at levels 1, 3, and 5","The only difference between Drow subraces lies in their available dialogue options and deity selection as clerics","https://bg3.wiki/wiki/Races"
"Half-Elf","High Half-Elf","Standard; 9 m (30 ft)","Weapons Spears; Pikes; Halberds; Glaives; Armour ; Light armour; Shields","-","Fey Ancestry Advantage against being Charmed; Immune to magical Sleeping; Darkvision ; Can see in the dark up to 12 m (40 ft).","One Cantrip of choice from the Wizard spell list","https://bg3.wiki/wiki/Races"
"Half-Elf","Wood Half-Elf","Fast; 10.5 m (35 ft)","Weapons Spears; Pikes; Halberds; Glaives; Armour ; Light armour; Shields","Skills Stealth","Fey Ancestry Advantage against being Charmed; Immune to magical Sleeping; Darkvision ; Can see in the dark up to 12 m (40 ft).","Fleet of Foot Increases base movement speed by 1.5 m (5 ft)","https://bg3.wiki/wiki/Races"
"Half-Elf","Drow Half-Elf","Standard; 9 m (30 ft)","Weapons Spears; Pikes; Halberds; Glaives; Armour ; Light armour; Shields","-","Fey Ancestry Advantage against being Charmed; Immune to magical Sleeping; Darkvision ; Can see in the dark up to 12 m (40 ft).","Drow Magic Dancing Lights, Faerie Fire, and Darkness Spells at levels 1, 3, and 5","https://bg3.wiki/wiki/Races"
"Half-Orc","","Standard; 9 m (30 ft)","Skills Intimidation","Skills Intimidation","Darkvision Can see in the dark up to 12 m (40 ft).; Savage Attacks ; Add one additional dice of damage when scoring a critical hit with a melee weapon; Relentless Endurance ; Drop to 1 hit point instead of being downed, once per long rest","Darkvision Can see in the dark up to 12 m (40 ft).; Savage Attacks ; Add one additional dice of damage when scoring a critical hit with a melee weapon; Relentless Endurance ; Drop to 1 hit point instead of being downed, once per long rest","https://bg3.wiki/wiki/Races"
"Halfling","Lightfoot Halfling","Slow; 7.5 m (25 ft)","-","-","Halfling Luck Single reroll on a 1 for an Attack Roll, Ability Check, or Saving Throw.; Brave ; Advantage against being Frightened","Naturally Stealthy Advantage on Stealth checks","https://bg3.wiki/wiki/Races"
"Halfling","Strongheart Halfling","Slow; 7.5 m (25 ft)","-","-","Halfling Luck Single reroll on a 1 for an Attack Roll, Ability Check, or Saving Throw.; Brave ; Advantage against being Frightened","Strongheart Resilience Advantage against being Poisoned and Resistance to Poison damage","https://bg3.wiki/wiki/Races"
"Dwarf","Gold Dwarf","Slow; 7.5 m (25 ft)","Weapons Battleaxes; Handaxes; Light Hammers; Warhammers","-","Dwarven Resilience Advantage against being Poisoned and Resistance to Poison damage; Darkvision ; Can see in the dark up to 12 m (40 ft).","Dwarven Toughness Maximum Hit Point increased by 1 per level","https://bg3.wiki/wiki/Races"
"Dwarf","Shield Dwarf","Slow; 7.5 m (25 ft)","Weapons Battleaxes; Handaxes; Light Hammers; Warhammers","Armour Light armour (Dwarven Armour Training); Medium armour (Dwarven Armour Training)","Dwarven Resilience Advantage against being Poisoned and Resistance to Poison damage; Darkvision ; Can see in the dark up to 12 m (40 ft).","-","https://bg3.wiki/wiki/Races"
"Dwarf","Duergar","Slow; 7.5 m (25 ft)","Weapons Battleaxes; Handaxes; Light Hammers; Warhammers","-","Dwarven Resilience Advantage against being Poisoned and Resistance to Poison damage; Darkvision ; Can see in the dark up to 12 m (40 ft).","Duergar Resilience ; Advantage on Saving Throws against Illusions and against being Charmed or Paralysed; Superior Darkvision ; Can see in the dark up to 24 m (80 ft).; Duergar Magic ; Enlarge and Invisibility spells at levels 3 and 5","https://bg3.wiki/wiki/Races"
"Gnome","Forest Gnome","Slow; 7.5 m (25 ft)","-","-","Gnome Cunning Advantage on Intelligence, Wisdom, and Charisma Saving Throws; Darkvision ; Can see in the dark up to 12 m (40 ft).","Additional Spell Speak with Animals (at will)","https://bg3.wiki/wiki/Races"
"Gnome","Deep Gnome","Slow; 7.5 m (25 ft)","-","-","Gnome Cunning Advantage on Intelligence, Wisdom, and Charisma Saving Throws; Darkvision ; Can see in the dark up to 12 m (40 ft).","Superior Darkvision Can see in the dark up to 24 m (80 ft).; Stone Camouflage ; Advantage on Stealth checks","https://bg3.wiki/wiki/Races"
"Gnome","Rock Gnome","Slow; 7.5 m (25 ft)","-","Skills Expertise in History (Artificer's Lore)","Gnome Cunning Advantage on Intelligence, Wisdom, and Charisma Saving Throws; Darkvision ; Can see in the dark up to 12 m (40 ft).","-","https://bg3.wiki/wiki/Races"
"Tiefling","Asmodeus Tiefling","Standard; 9 m (30 ft)","-","-","Hellish Resistance Resistance to Fire damage; Darkvision ; Can see in the dark up to 12 m (40 ft).","Infernal Legacy Produce Flame, Hellish Rebuke, and Darkness Spells at levels 1, 3, and 5","https://bg3.wiki/wiki/Races"
"Tiefling","Mephistopheles Tiefling","Standard; 9 m (30 ft)","-","-","Hellish Resistance Resistance to Fire damage; Darkvision ; Can see in the dark up to 12 m (40 ft).","Legacy of Cania Mage Hand, Burning Hands, and Flame Blade Spells at levels 1, 3, and 5","https://bg3.wiki/wiki/Races"
"Tiefling","Zariel Tiefling","Standard; 9 m (30 ft)","-","-","Hellish Resistance Resistance to Fire damage; Darkvision ; Can see in the dark up to 12 m (40 ft).","Legacy of Avernus Thaumaturgy, Searing Smite, and Branding Smite Spells at levels 1, 3, and 5","https://bg3.wiki/wiki/Races"
"Githyanki","","Standard; 9 m (30 ft)","Weapons Shortswords; Longswords; Greatswords; Armour ; Light armour; Medium armour","Weapons Shortswords; Longswords; Greatswords; Armour ; Light armour; Medium armour","Astral Knowledge Gain Proficiency in all Skills corresponding to a chosen Ability each Long Rest; Githyanki Psionics ; Mage Hand, Enhance Leap, and Misty Step Spells at levels 1, 3, and 5","Astral Knowledge Gain Proficiency in all Skills corresponding to a chosen Ability each Long Rest; Githyanki Psionics ; Mage Hand, Enhance Leap, and Misty Step Spells at levels 1, 3, and 5","https://bg3.wiki/wiki/Races"
"Dragonborn","Black Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Acid damage; Acid Breath ; AoE: 5 m (17 ft) Line of Acid damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Blue Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Lightning damage; Lightning Breath ; AoE: 5 m (17 ft) Line of Lightning damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Brass Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Fire damage; Fire Breath (Line) ; AoE: 5 m (17 ft) Line of Fire damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Bronze Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Lightning damage; Lightning Breath ; AoE: 5 m (17 ft) Line of Lightning damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Copper Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Acid damage; Acid Breath ; AoE: 5 m (17 ft) Line of Acid damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Gold Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Fire damage; Fire Breath (Cone) ; AoE: 5 m (17 ft) Cone of Fire damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Green Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Poison damage; Poison Breath ; AoE: 5 m (17 ft) Cone of Poison damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Red Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Fire damage; Fire Breath (Cone) ; AoE: 5 m (17 ft) Cone of Fire damage","https://bg3.wiki/wiki/Races"
"Dragonborn","Silver Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Cold damage; Frost Breath ; AoE: 5 m (17 ft) Cone of Cold damage","https://bg3.wiki/wiki/Races"
"Dragonborn","White Dragonborn","Standard; 9 m (30 ft)","-","-","-","Draconic Ancestry Resistance to Cold damage; Frost Breath ; AoE: 5 m (17 ft) Cone of Cold damage","https://bg3.wiki/wiki/Races"
