"spell","level","school","classes","cast_time","duration","range_area","attack_save","damage_effect","description","source_url"
"Acid Splash","C","Conjuration","Arcane Trickster; Eldritch Knight; Sorcerer; Wizard","Action","-","Range 18 m / 60ft Aoe 2m / 7ft (Radius)","DEX Save","1d6 Acid","Throw a bubble of acid that damages each creature it hits.","https://bg3.wiki/wiki/Acid_Splash"
"Blade Ward","C","Abjuration","Arcane Trickster; Bard; Cleric; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","Duration 2 turns","Range Self","-","-","Take only half the damage from Bludgeoning, Piercing, and Slashing attacks.","https://bg3.wiki/wiki/Blade_Ward"
"Bone Chill","C","Necromancy","Arcane Trickster; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","Duration 1 turn","Range 18 m / 60ft","Attack Roll","1d8 Necrotic","Prevent the target from healing until your next turn. The target cannot help Downed characters. An undead target receives Disadvantage on Attack Roll Attack Rolls.","https://bg3.wiki/wiki/Bone_Chill"
"Booming Blade","C","Evocation","Arcane Trickster; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","Duration 1 turn","Range Weapon Range","Attack Roll","Normal weapon damage 1d8 Thunder","Strike with your weapon, afflicting your foe with a resonance that hurts them for 1d8 Thunder when they move. This spell can be cast while you are Silenced. Prerequisite Requires proficiency with the equipped weapon","https://bg3.wiki/wiki/Booming_Blade"
"Bursting Sinew","C","Necromancy","Arcane Trickster; Cleric; Eldritch Knight; Sorcerer; Wizard","Action","-","Range 18 m / 60 ft Aoe 3m / 10ft (Radius)","DEX Save","1d10 Piercing","Explode a corpse, causing it to impale those around it.","https://bg3.wiki/wiki/Bursting_Sinew"
"Dancing Lights","C","Evocation","Arcane Trickster; Bard; Eldritch Knight; Sorcerer; Wizard","Action","Duration 10 turns","Range 18 m / 60ft Aoe 9m / 30ft (Radius)","-","-","Illuminate a 9 m (30 ft) 9 m (30 ft) radius.","https://bg3.wiki/wiki/Dancing_Lights"
"Eldritch Blast","C","Evocation","Warlock","Action","-","Range 18 m / 60 ft","Attack Roll","1d10 Force","Conjure a beam of crackling energy. Deals 1d10 Force damage to a target.","https://bg3.wiki/wiki/Eldritch_Blast"
"Fire Bolt","C","Evocation","Arcane Trickster; Eldritch Knight; Sorcerer; Wizard","Action","-","Range 18 m / 60ft","Attack Roll","1d10 Fire","Hurl a mote of fire.","https://bg3.wiki/wiki/Fire_Bolt"
"Friends","C","Enchantment","Arcane Trickster; Bard; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range 9 m / 30ft","-","-","Gain Advantage on Charisma Checks against a non- hostile creature. This spell can be cast while you are Silenced. Prerequisite In higher difficulty modes, the target might accuse you of enchanting them.","https://bg3.wiki/wiki/Friends"
"Guidance","C","Divination","Cleric; Druid","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","The target gains +1d4 bonus to Ability Check Ability Checks.","https://bg3.wiki/wiki/Guidance"
"Light","C","Evocation","Arcane Trickster; Bard; Cleric; Eldritch Knight; Sorcerer; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Infuse an object with an aura of light. Prerequisite Only affects one target at a time.","https://bg3.wiki/wiki/Light"
"Mage Hand","C","Conjuration","Arcane Trickster; Bard; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60ft","-","-","Create a spectral hand that can manipulate and interact with objects.","https://bg3.wiki/wiki/Mage_Hand"
"Minor Illusion","C","Illusion","Arcane Trickster; Bard; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","-","Range 18 m / 60ft","-","-","Create an illusion that compels nearby creatures to investigate. You can remain hidden while casting this spell. This spell can be cast while you are Silenced.","https://bg3.wiki/wiki/Minor_Illusion"
"Poison Spray","C","Conjuration","Arcane Trickster; Druid; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","-","Range 3 m / 10ft","CON Save","1d12 Poison","Project a puff of noxious gas, dealing 1d12 Poison to a target.","https://bg3.wiki/wiki/Poison_Spray"
"Produce Flame","C","Conjuration","Cleric; Druid","Action","Duration Long Rest","Range Self","-","1d8 Fire","A flame in your hand sheds a light in a 9 m (30 ft) radius and deals 1d8 Fire damage when thrown. Throwing the flame immediately after you conjure it does not cost an Action. Extinguishing or throwing it on subsequent turns costs an action. The throw has a range of 9 m (30 ft).","https://bg3.wiki/wiki/Produce_Flame"
"Ray of Frost","C","Evocation","Arcane Trickster; Eldritch Knight; Sorcerer; Wizard","Action","Duration 1 turn","Range 18 m / 60ft","Attack Roll","1d8 Cold","Reduces the target's Movement Speed by 3 m (10 ft).","https://bg3.wiki/wiki/Ray_of_Frost"
"Resistance (Cantrip)","C","Abjuration","Cleric; Druid","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","Make a target more resistant to spell effects and conditions: it receives a +1d4 bonus to Saving Throw Saving Throws.","https://bg3.wiki/wiki/Resistance_(Cantrip)"
"Sacred Flame","C","Evocation","Cleric","Action","-","Range 18 m / 60ft","DEX Save","1d8 Radiant","Engulf a target in a flame-like radiance.","https://bg3.wiki/wiki/Sacred_Flame"
"Shillelagh","C","Transmutation","Druid","Bonus Action","Duration 10 turns","Range Self","-","-","Prerequisite Quarterstaff or Club Required. Your staff or club becomes magical: it deals 1d8 + Spellcasting modifier Bludgeoning damage, and uses your Spellcasting modifier for Attack Roll Attack Rolls.","https://bg3.wiki/wiki/Shillelagh"
"Shocking Grasp","C","Evocation","Arcane Trickster; Eldritch Knight; Sorcerer; Wizard","Action","Duration 1 turn","Range 1.5 m / 5 ft","Attack Roll","1d8 Lightning","The target cannot use Reactions. This spell has Advantage on creatures with metal Armour.","https://bg3.wiki/wiki/Shocking_Grasp"
"Thaumaturgy","C","Transmutation","Cleric","Action","Duration 10 turns","Range Self","-","-","Gain Advantage on Intimidation and Performance Checks.","https://bg3.wiki/wiki/Thaumaturgy"
"Thorn Whip","C","Transmutation","Druid","Action","-","Range 9 m / 30ft","Attack Roll","1d6 Piercing","Pulls the creature 3 m (10 ft) closer to you. Prerequisite The target cannot be pulled if it is Huge in size.","https://bg3.wiki/wiki/Thorn_Whip"
"Toll the Dead","C","Necromancy","Arcane Trickster; Cleric; Eldritch Knight; Warlock; Wizard","Action","-","Range 18 m / 60 ft","WIS Save","1d12 Necrotic","Ring the bell of impending doom. If the target is at full health, you deal 1d8 Necrotic damage instead.","https://bg3.wiki/wiki/Toll_the_Dead"
"True Strike","C","Divination","Arcane Trickster; Bard; Eldritch Knight; Sorcerer; Warlock; Wizard","Action","Duration 2 turns","Range 18 m / 60 ft","-","-","Gain Advantage on your next Attack Roll. This spell can be cast while you are Silenced.","https://bg3.wiki/wiki/True_Strike"
"Vicious Mockery","C","Enchantment","Bard","Action","Duration 1 turn","Range 18 m / 60ft","WIS Save","1d4 Psychic","Insult a creature: it has Disadvantage on its next Attack Roll.","https://bg3.wiki/wiki/Vicious_Mockery"
"Animal Friendship","1","Enchantment","Bard; Druid; Ranger","Action","Duration 10 turns","Range 18 m / 60 ft","WIS Save","-","Convince a beast not to attack you. Prerequisite The creature must have an Intelligence of 3 or less. Prerequisite Condition ends early if you or an ally hurts the target. Prerequisite In higher difficulty modes, the target might become hostile when the spell ends.","https://bg3.wiki/wiki/Animal_Friendship"
"Armour of Agathys","1","Abjuration","Warlock","Action","Duration Long Rest","Range Self","-","5 Cold","Gain 5 temporary hit points 5 temporary hit points and deal 5 Cold damage to any creature that hits you with a melee attack. Prerequisite Can only have Temporary Hit Points from one source.","https://bg3.wiki/wiki/Armour_of_Agathys"
"Arms of Hadar","1","Conjuration","Warlock","Action","Duration 1 turn","Range Self Aoe 3m / 10ft (Radius)","STR Save","2d6 Necrotic","Prevent targets from using reactions.","https://bg3.wiki/wiki/Arms_of_Hadar"
"Bane","1","Enchantment","Bard; Cleric","Action","Duration 10 turns","Range 9 m / 30ft","CHA Save","-","Up to 3 creatures receive a -1d4 penalty to Attack Roll Attack Rolls and Saving Throw Saving Throws.","https://bg3.wiki/wiki/Bane_(spell)"
"Bless","1","Enchantment","Cleric; Paladin","Action","Duration 10 turns","Range 9 m / 30ft","-","-","Bless up to 3 creatures. They gain a +1d4 bonus to Attack Roll Attack Rolls and Saving Throw Saving Throws.","https://bg3.wiki/wiki/Bless"
"Burning Hands","1","Evocation","Eldritch Knight; Sorcerer; Wizard","Action","-","Range Self Aoe 5m / 17ft (Cone)","DEX Save","3d6 Fire","Each flammable target is hit with 3d6 Fire damage.","https://bg3.wiki/wiki/Burning_Hands"
"Charm Person","1","Enchantment","Arcane Trickster; Bard; Druid; Sorcerer; Warlock; Wizard","Action","Duration 10 turns","Range 18 m / 60 ft","WIS Save","-","Charm a humanoid to prevent it from attacking you. You gain Advantage on Charisma Checks in dialogue. Enemies have Advantage on Saving Throw Saving Throws against being Charmed. Prerequisite Condition ends early if you or an ally hurts the target. Prerequisite In higher difficulty modes, the target might accuse you of enchanting them.","https://bg3.wiki/wiki/Charm_Person"
"Chromatic Orb","1","Evocation","Eldritch Knight; Sorcerer; Wizard","Action","-","Range 18 m / 60 ft","Attack Roll","-","Hurl a sphere of energy. It deals 3d8 Thunder damage, or 2d8 Acid, Cold, Fire, Lightning or Poison damage and creates a surface.","https://bg3.wiki/wiki/Chromatic_Orb"
"Colour Spray","1","Illusion","Arcane Trickster; Sorcerer; Wizard","Action","Duration 1 turn","Range Self Aoe 5m / 17ft (Cone)","-","-","Blind creatures up to a combined 33 Hit Points.","https://bg3.wiki/wiki/Colour_Spray"
"Command","1","Enchantment","Cleric; Paladin","Action","-","Range 18 m / 60 ft","WIS Save","-","Command a creature to flee, move closer, freeze, drop to the ground or drop its weapon. The target must succeed on a Wisdom Saving Throw Wisdom Saving Throw in order to resist the effects. Prerequisite No effect on undead.","https://bg3.wiki/wiki/Command"
"Compelled Duel","1","Enchantment","Paladin","Bonus Action","Duration 3 turns","Range 9 m / 30ft","WIS Save","-","Force an enemy to attack only you, giving it Disadvantage against other targets.","https://bg3.wiki/wiki/Compelled_Duel"
"Create or Destroy Water","1","Transmutation","Cleric; Druid","Action","-","Range 9 m / 30ft Aoe 4m / 13ft (Radius)","-","-","Choose to call forth rain or destroy a water-based surface.","https://bg3.wiki/wiki/Create_or_Destroy_Water"
"Cure Wounds","1","Evocation","Bard; Cleric; Druid; Paladin; Ranger","Action","-","Range 1.5 m / 5 ft","-","1d8 + Spellcasting modifier Healing","Heal a creature you can touch. Prerequisite No effect on undead and constructs.","https://bg3.wiki/wiki/Cure_Wounds"
"Disguise Self","1","Illusion","Arcane Trickster; Bard; Sorcerer; Wizard","Action","Duration Long Rest","Range Self","-","-","Magically change all aspects of your appearance.","https://bg3.wiki/wiki/Disguise_Self"
"Dissonant Whispers","1","Enchantment","Bard","Action","Duration 2 turns","Range 18 m / 60 ft","WIS Save","3d6 Psychic","Frighten a creature: they'll have Disadvantage on Ability Check Ability Checks and Attack Roll Attack Rolls and they cannot move.","https://bg3.wiki/wiki/Dissonant_Whispers"
"Divine Favour","1","Evocation","Paladin","Bonus Action","Duration 3 turns","Range Self","-","-","Your prayer empowers you with divine radiance. Your weapons deal an additional 1d4 Radiant damage.","https://bg3.wiki/wiki/Divine_Favour"
"Enhance Leap","1","Transmutation","Druid; Ranger; Sorcerer; Wizard","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","Triple a creature's Jumping distance.","https://bg3.wiki/wiki/Enhance_Leap"
"Ensnaring Strike","1","Conjuration","Ranger","Action","Duration 10 turns","-","Attack Roll STR Save","Normal weapon damage 1d6 Piercing","Your attack summons thorny vines that possibly Ensnare your target. Ensnared creatures cannot move and take 1d6 Piercing damage at the start of each turn. An ally can use their Help action to try and tear away the vines.","https://bg3.wiki/wiki/Ensnaring_Strike"
"Entangle","1","Conjuration","Druid","Action","-","Range 18 m / 60 ft Aoe 3m / 10ft (Radius)","STR Save","-","Vines sprout from the ground, turning it into Difficult Terrain and possibly Entangling creatures within. Entangled creatures cannot move. An ally can use its help action to try and tear away the vines.","https://bg3.wiki/wiki/Entangle"
"Expeditious Retreat","1","Transmutation","Sorcerer; Warlock; Wizard","Bonus Action","Duration Long Rest","Range Self","-","-","Gain Dash immediately and as a bonus action on each of your turns until this spell ends.","https://bg3.wiki/wiki/Expeditious_Retreat"
"Faerie Fire","1","Evocation","Bard; Druid","Action","Duration 10 turns","Range 18 m / 60ft Aoe 6m / 20ft (Radius)","DEX Save","-","All targets within the light turn visible, and Attack Roll Attack Rolls against them have Advantage.","https://bg3.wiki/wiki/Faerie_Fire"
"False Life","1","Necromancy","Sorcerer; Wizard","Action","Duration Long Rest","Range Self","-","-","Bolster yourself with a necromantic facsimile of life to gain 7 temporary hit points 7 temporary hit points. Prerequisite Can only have temporary hit points from one source.","https://bg3.wiki/wiki/False_Life"
"Feather Fall","1","Transmutation","Bard; Sorcerer; Wizard","Bonus Action","Duration 10 turns","Range Self Aoe 9m / 30ft (Radius)","-","-","You and nearby allies gain Immunity to Falling damage.","https://bg3.wiki/wiki/Feather_Fall"
"Find Familiar","1","Conjuration","Wizard","Action","-","Range 18 m / 60ft","-","-","Summon a familiar, a fey spirit that takes an animal form of your choosing","https://bg3.wiki/wiki/Find_Familiar"
"Fog Cloud","1","Conjuration","Druid; Ranger; Sorcerer; Wizard","Action","-","Range 18 m / 60ft Aoe 4.5m / 15ft (Radius)","-","-","Create a cloud of dense fog to Heavily Obscure and Blind creatures within.","https://bg3.wiki/wiki/Fog_Cloud"
"Goodberry","1","Transmutation","Druid; Ranger","Action","-","Range 1.5 m / 5 ft","-","-","Conjure four magical berries for yourself or a companion. Creatures who eat a berry regain 1d4 Hit Points. Each berry counts as one Camp Supplies. The berries appear in the targeted creature's inventory and disappear after a Long Rest.","https://bg3.wiki/wiki/Goodberry"
"Grease","1","Conjuration","Wizard","Action","-","Range 18 m / 60ft","DEX Save","-","Cover the ground in flammable grease. It becomes Difficult Terrain and creatures within can fall Prone.","https://bg3.wiki/wiki/Grease"
"Guiding Bolt","1","Evocation","Cleric","Action","Duration 2 turns","Range 18 m / 60ft","Attack Roll","4d6 Radiant","The next attack roll against this target has Advantage.","https://bg3.wiki/wiki/Guiding_Bolt"
"Hail of Thorns","1","Conjuration","Ranger","Bonus Action","-","Range 18 m / 60 ft Aoe 2m / 7ft (Radius)","Attack Roll DEX Save","Normal weapon damage 1d10 Piercing","Shoot a volley of thorns. The thorns deal weapon damage to the target and then explode. The explosion deals an additional 1d10 Piercing damage to the target and surrounding creatures. On miss, the thorns still explode. On save, targets still take half damage from the explosion.","https://bg3.wiki/wiki/Hail_of_Thorns"
"Healing Word","1","Evocation","Bard; Cleric; Druid","Bonus Action","-","Range 18 m / 60ft","-","1d4 + Spellcasting modifier Healing","Heal a creature you can see. Prerequisite No effect on undead and constructs.","https://bg3.wiki/wiki/Healing_Word"
"Hellish Rebuke","1","Evocation","Warlock","Reaction","-","-","-","2d10 Fire","React to your next attacker with flames that deal 2d10 Fire damage. On a successful save, the target still takes half damage.","https://bg3.wiki/wiki/Hellish_Rebuke"
"Heroism","1","Enchantment","Bard; Paladin","Action","Duration 10 turns","Range 1.5 m / 5 ft","-","-","Make yourself or a target immune to Frightened and gain 5 Temporary Hit Points each turn. Prerequisite Can only have Temporary Hit Points from one source.","https://bg3.wiki/wiki/Heroism"
"Hex","1","Enchantment","Warlock","Bonus Action","-","Range 18 m / 60 ft","-","1d6 Necrotic","Make your attacks deal an additional 1d6 Necrotic damage to the target and give it Disadvantage on an Ability of your choosing. If the target dies before the spell ends, you can Reapply Hex to a new creature without expending a Spell Slot.","https://bg3.wiki/wiki/Hex"
"Hunter's Mark","1","Divination","Ranger","Bonus Action","Duration Long Rest","Range 18 m / 60 ft","-","1d6 Weapon","Mark a creature as your quarry to deal an additional 1d6 Weapon damage whenever you hit it with a weapon attack. If the target dies before the spell ends, you can use Reapply Hunter's Mark Reapply Hunter's Mark to mark a new creature.","https://bg3.wiki/wiki/Hunter%27s_Mark"
"Ice Knife","1","Conjuration","Druid; Sorcerer; Wizard","Action","-","Range 18 m / 60ft Aoe 2m / 7ft (Radius)","Attack Roll DEX Save","1d10 Piercing 2d6 Cold","Throw a shard of ice that deals 1d10 Piercing damage. It explodes and deals 2d6 Cold damage to anyone nearby. It leaves an Ice surface. On miss, the shard of ice still explodes. This spell can be cast while you are Silenced.","https://bg3.wiki/wiki/Ice_Knife"
"Inflict Wounds","1","Necromancy","Cleric","Action","-","Range 1.5 m / 5 ft","Attack Roll","3d10 Necrotic","Putrefy a creature with Necrotic energy filling your hands.","https://bg3.wiki/wiki/Inflict_Wounds"
"Longstrider","1","Transmutation","Bard; Druid; Ranger; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Increase a creature's Movement Speed by 3 m (10 ft).","https://bg3.wiki/wiki/Longstrider"
"Mage Armour","1","Abjuration","Eldritch Knight; Sorcerer; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Surround an unarmoured creature in a protective magical force. Its Armour Class increases to 13 + its Dexterity modifier. This effect does not stack with Unarmoured Defence. Prerequisite The target can't be wearing Armour.","https://bg3.wiki/wiki/Mage_Armour"
"Magic Missile","1","Evocation","Eldritch Knight; Sorcerer; Wizard","Action","-","Range 18 m / 60ft","-","1d4 + 1 Force 1d4 + 1 Force 1d4 + 1 Force","Create three darts of magical force, each dealing 1d4 + 1 Force damage to its target. The darts always hit their target, and can each be targeted individually.","https://bg3.wiki/wiki/Magic_Missile"
"Protection from Evil and Good","1","Abjuration","Cleric; Eldritch Knight; Paladin; Warlock; Wizard","Action","Duration Long Rest","Range 1.5 m / 5 ft","-","-","Protect an ally against the attacks and powers of Aberrations, Celestials, Elementals, Fey, Fiends, and Undead. The targets can't be Charmed, Frightened, or possessed by them [ See: Bugs ], and when these creatures attack it, they have Disadvantage.","https://bg3.wiki/wiki/Protection_from_Evil_and_Good"
"Ray of Sickness","1","Necromancy","Sorcerer; Wizard","Action","Duration 2 turns","Range 18 m / 60 ft","Attack Roll CON Save","2d8 Poison","Possibly Poisons the target.","https://bg3.wiki/wiki/Ray_of_Sickness"
"Sanctuary","1","Abjuration","Cleric","Bonus Action","Duration 10 turns","Range 18 m / 60 ft","-","-","You or an ally cannot be targeted until you attack or harm a creature. You can still take damage from area spells. Until the affected entity attacks or harms another creature, it cannot be targeted by enemy attacks. However, it can still take damage from spells that influence a larger area.","https://bg3.wiki/wiki/Sanctuary"
"Searing Smite","1","Evocation","Paladin","Action","Duration 10 turns","Range Weapon Range","Attack Roll","Normal weapon damage 1d6 Fire 1d6 Fire","Your weapon flares with white-hot intensity. It deals, on top of weapon damage, an extra 1d6 Fire damage and marks the target with Searing Smite.","https://bg3.wiki/wiki/Searing_Smite"
"Shield","1","Abjuration","Eldritch Knight; Sorcerer; Wizard","Reaction","Duration 1 turn","Range Self","-","-","When you are about to be hit by an enemy, use your Reaction to increase your Armour Class by 5. You also take no damage from Magic Missile. These effects last until the start of your next turn.","https://bg3.wiki/wiki/Shield_(spell)"
"Shield of Faith","1","Abjuration","Cleric; Paladin","Bonus Action","Duration Long Rest","Range 18 m / 60 ft","-","-","Surround a creature with a shimmering field of magic that increases its Armour Class by 2.","https://bg3.wiki/wiki/Shield_of_Faith"
"Sleep","1","Enchantment","Arcane Trickster; Bard; Sorcerer; Wizard","Action","Duration 2 turns","Range 18 m / 60 ft","-","-","Put creatures into a magical slumber. Select targets up to a combined 24 Hit Points. Prerequisite The condition ends upon taking damage.","https://bg3.wiki/wiki/Sleep"
